Date_of_Sighting,Date_of_Report,Description,Duration,Shape,City,Region,Country,Longitude,Latitude,Photos
2018-03-29,2018-03-30,,00:03:00,Disc,Orting,Washington,United States,-122.14480,47.06133,"[u'http://www.mufoncms.com/files_jeud8334j/91119_submitter_file1__8996A574AF974A2D860FBE268316424E.jpeg', u'http://www.mufoncms.com/files_jeud8334j/91119_submitter_file2__153D320F8B47445495D62FFFB23F32CD.jpeg']"
2018-03-30,2018-03-30,,00:05:00,Other,Alvin,Texas,United States,-95.25615,29.41273,[]
2018-03-30,2018-03-31,,00:00:00,Sphere,Isabela,Cagayan Valley,Philippines,121.81071,16.97538,"[u'http://www.mufoncms.com/files_jeud8334j/91131_submitter_file1__DSC0235.JPG', u'http://www.mufoncms.com/files_jeud8334j/91131_submitter_file2__DSC0123.JPG', u'http://www.mufoncms.com/files_jeud8334j/91131_submitter_file3__DSC01232.JPG']"
2017-09-17,2018-03-31,,00:05:00,Sphere,Don Torcuato,Buenos Aires,Argentina,-58.61633,-34.50743,[u'http://www.mufoncms.com/files_jeud8334j/91137_submitter_file1__08A875374F2748048588C0927FCC9CD2.jpeg']
2018-01-28,2018-04-01,,00:00:01,Egg,Traverse City,Michigan,United States,-85.61670,44.76601,[]
2018-01-29,2018-04-01,,00:02:00,Cylinder,Farmington,Arkansas,United States,-94.24560,36.04927,"[u'http://www.mufoncms.com/files_jeud8334j/91145_submitter_file1__551418D22AF54116A5144DD813224F1D.jpeg', u'http://www.mufoncms.com/files_jeud8334j/91145_submitter_file2__10AB009BA6324A458EF29FFFA1623035.jpeg']"
2017-08-26,2018-04-01,,00:02:00,Star-like,Moncton,New Brunswick,Canada,-64.77343,46.09553,"[u'http://www.mufoncms.com/files_jeud8334j/91154_submitter_file1__trim.3DB7980C0312490A8DD28B8FD8F8D5B1.MOV', u'http://www.mufoncms.com/files_jeud8334j/91154_submitter_file2__IMG2007.PNG', u'http://www.mufoncms.com/files_jeud8334j/91154_submitter_file3__IMG2010.PNG', u'http://www.mufoncms.com/files_jeud8334j/91154_submitter_file4__IMG2047.PNG', u'http://www.mufoncms.com/files_jeud8334j/91154_submitter_file5__IMG2052.PNG', u'http://www.mufoncms.com/files_jeud8334j/91154_submitter_file6__IMG2055.PNG']"
2018-03-30,2018-04-01,,,Cylinder,Crescent,Washington,United States,-123.80714,48.09453,[]
2018-03-31,2018-04-01,,00:03:00,"N,    A",,Tennessee,United States,-86.57548,35.52127,[u'http://www.mufoncms.com/files_jeud8334j/91156_submitter_file1__8599265AB24C43ABA17EA02A270701C8.jpeg']
2018-04-01,2018-04-01,,00:30:00,Disc,Beeville,Texas,United States,-97.75416,28.42628,"[u'http://www.mufoncms.com/files_jeud8334j/91159_submitter_file1__01c406177bab83de4911e2bd57ec61c5180f3ff4a8.jpg', u'http://www.mufoncms.com/files_jeud8334j/91159_submitter_file2__017233ef8d465922e9b6cc75d67867faa4e28c1526.jpg']"
